key_resp.corr,key_resp.rt,,,,,seqRT,ranRT,,,,,
1,52.283041,,,,,52.283041,0.7028492,51.5801918,,,,
1,5.1966317,,,,,5.1966317,1.344331,3.8523007,,,,
1,4.2901442,,,,,4.2901442,0.8956353,3.3945089,,,,
1,4.241561,,,,,4.241561,1.2512648,2.9902962,,,0.109263148,
1,2.7300294,,,,,2.7300294,0.9474826,1.7825468,,,,
1,4.4076036,,,,,4.4076036,1.0470754,3.3605282,,,,
1,5.4900341,,,,,5.4900341,0.912756,4.5772781,,,1.084869239,0.109263148
1,2.1975702,,,,,2.1975702,0.5098113,1.6877589,,,0.975606091,
1,2.6597247,,,,,2.6597247,0.9522914,1.7074333,,,,
1,2.7391713,,,,,2.7391713,0.7520185,1.9871528,,,,
1,3.7549685,,,,,3.7549685,0.8496117,2.9053568,,,,
1,1.8286276,,,,,1.8286276,0.9564769,0.8721507,,,,
1,1.5184065,,,,,1.5184065,0.4482448,1.0701617,,,,
1,1.6335707,,,,,1.6335707,1.4897112,0.1438595,,,,
1,1.0312022,,,,,1.0312022,1.8904881,-0.8592859,,,,
0,0.3353966,,,,,0.3353966,0.5701748,-0.2347782,,,,
1,0.9202239,,,,,0.9202239,0.6953505,0.2248734,,,,
1,0.6472702,,,,,0.6472702,0.6412013,0.0060689,,,,
1,0.2854652,,,,,0.2854652,1.5144776,-1.2290124,,,,
1,0.8545838,,,,,0.8545838,0.5500164,0.3045674,,,,
1,0.2153842,,,,,0.2153842,1.1218239,-0.9064397,,,,
1,0.2837487,,,,,0.2837487,1.1773681,-0.8936194,,,,
1,0.2754955,,,,,0.2754955,0.4239448,-0.1484493,,,,
1,1.1626883,,,,,1.1626883,1.2583435,-0.0956552,,,,
1,0.3472875,,,,,0.3472875,0.967478,-0.6201905,,,,
1,0.8129669,,,,,0.8129669,1.1549333,-0.3419664,,,,
1,0.3094427,,,,,0.3094427,0.5318027,-0.22236,,,,
1,0.344701,,,,,0.344701,0.6903214,-0.3456204,,,,
1,0.305407,,,,,0.305407,0.8743807,-0.5689737,,,,
1,0.298776,,,,,0.298776,0.7544095,-0.4556335,,,,
1,0.281153,,,,,0.281153,0.9887581,-0.7076051,,,,
1,0.6156948,,,,,0.6156948,0.9561566,-0.3404618,,,,
1,0.2698062,,,,,0.2698062,0.6974132,-0.427607,,,,
1,0.302934,,,,,0.302934,0.8513569,-0.5484229,,,,
1,0.2746078,,,,,0.2746078,0.6486084,-0.3740006,,,,
1,0.4183522,,,,,0.4183522,1.6551066,-1.2367544,,,,
1,0.2916462,,,,,0.2916462,0.8283228,-0.5366766,,,,
1,0.3379432,,,,,0.3379432,0.6727318,-0.3347886,,,,
1,0.7620868,,,,,0.7620868,0.7768165,-0.0147297,,,,
1,0.2821943,,,,,0.2821943,1.0837641,-0.8015698,,,,
1,0.3686956,,,,,0.3686956,0.7815493,-0.4128537,,,,
1,0.3644105,,,,,0.3644105,0.525548,-0.1611375,,,,
1,1.039996,,,,,1.039996,0.8197418,0.2202542,,,,
1,0.4698366,,,,,0.4698366,1.168088,-0.6982514,,,,
1,0.2834151,,,,,0.2834151,0.9504119,-0.6669968,,,,
1,0.3212037,,,,,0.3212037,1.2212678,-0.9000641,,,,
1,0.3018219,,,,,0.3018219,1.0919699,-0.790148,,,,
1,0.3449565,,,,,0.3449565,0.6945449,-0.3495884,,,,
1,0.3425649,,,,,0.3425649,0.558516,-0.2159511,,,,
1,0.2738923,,,,,0.2738923,0.6653185,-0.3914262,,,,
1,0.2972841,,,,,0.2972841,0.4615978,-0.1643137,,,,
1,0.3313433,,,,,0.3313433,1.0488788,-0.7175355,,,,
1,0.5613466,,,,,0.5613466,0.4630987,0.0982479,,,,
1,0.4165435,,,,,0.4165435,0.668362,-0.2518185,,,,
1,0.2983616,,,,,0.2983616,0.7263245,-0.4279629,,,,
1,0.4845594,,,,,0.4845594,0.6679644,-0.183405,,,,
1,0.2902217,,,,,0.2902217,0.8744901,-0.5842684,,,,
1,0.8863558,,,,,0.8863558,0.7434064,0.1429494,,,,
1,0.2880126,,,,,0.2880126,1.2115749,-0.9235623,,,,
1,0.3047872,,,,,0.3047872,0.99307,-0.6882828,,,,
1,0.3830166,,,,,0.3830166,1.3686432,-0.9856266,,,,
1,0.8266398,,,,,0.8266398,0.7157167,0.1109231,,,,
1,0.3229568,,,,,0.3229568,1.0067202,-0.6837634,,,,
1,0.4332067,,,,,0.4332067,0.662819,-0.2296123,,,,
1,0.3604692,,,,,0.3604692,0.6594832,-0.299014,,,,
1,0.3822135,,,,,0.3822135,0.6768206,-0.2946071,,,,
1,1.5670112,,,,,1.5670112,1.0152083,0.5518029,,,,
1,0.2834741,,,,,0.2834741,0.8637465,-0.5802724,,,,
1,0.2924047,,,,,0.2924047,0.6814174,-0.3890127,,,,
1,0.297605,,,,,0.297605,0.4811332,-0.1835282,,,,
1,0.2831928,,,,,0.2831928,1.0475461,-0.7643533,,,,
1,0.2886904,,,,,0.2886904,4.0019136,-3.7132232,,,,
1,0.1771806,,,,,0.1771806,0.7904143,-0.6132337,,,,
1,0.5550396,,,,,0.5550396,0.9308819,-0.3758423,,,,
1,0.2845231,,,,,0.2845231,0.9682698,-0.6837467,,,,
1,0.3817662,,,,,0.3817662,0.9048384,-0.5230722,,,,
1,0.1816789,,,,,0.1816789,0.9991938,-0.8175149,,,,
1,0.3360247,,,,,0.3360247,0.5641038,-0.2280791,,,,
1,0.2824281,,,,,0.2824281,1.7460978,-1.4636697,,,,
1,0.3159709,,,,,0.3159709,1.0784369,-0.762466,,,,
1,0.2818497,,,,,0.2818497,0.7911853,-0.5093356,,,,
1,0.3490429,,,,,0.3490429,0.875237,-0.5261941,,,,
1,0.7839758,,,,,0.7839758,1.1072614,-0.3232856,,,,
1,0.3305215,,,,,0.3305215,1.4397938,-1.1092723,,,,
1,0.2705816,,,,,0.2705816,0.6584525,-0.3878709,,,,
1,0.2844802,,,,,0.2844802,1.3055455,-1.0210653,,,,
1,0.3108398,,,,,0.3108398,1.031527,-0.7206872,,,,
1,0.3145449,,,,,0.3145449,1.3485389,-1.033994,,,,
1,0.2844802,,,,,0.2844,2.3805388,-2.0961388,,,,
1,0.2993087,,,,,0.2993087,1.1720355,-0.8727268,,,,
1,0.3412416,,,,,0.3412416,1.0313108,-0.6900692,,,,
1,0.3144765,,,,,0.3144765,0.9262335,-0.611757,,,,
1,0.2691005,,,,,0.2691005,0.5867866,-0.3176861,,,,
1,0.2963428,,,,,0.2963428,0.918903,-0.6225602,,,,
1,0.3083966,,,,,0.3083966,0.9017807,-0.5933841,,,,
1,0.3244055,,,,,0.3244055,0.7379951,-0.4135896,,,,
1,0.9501631,,,,,0.9501631,0.7318141,0.218349,,,,
1,0.2835247,,,,,0.2835247,1.0620474,-0.7785227,,,,
1,0.281551,,,,,0.281551,0.9444639,-0.6629129,,,,
1,0.3283424,,,,,0.3283424,0.9700247,-0.6416823,,,,
1,0.2863766,,,,,0.2863766,1.2153031,-0.9289265,,,,
1,0.2852992,,,,,0.2852992,0.9940244,-0.7087252,,,,
1,0.3529846,,,,,0.3529846,0.8446243,-0.4916397,,,,
1,0.3640663,,,,,0.3640663,0.9843034,-0.6202371,,,,
1,0.3510395,,,,,0.3510395,1.1012361,-0.7501966,,,,
1,0.3362831,,,,,0.3362831,1.0706544,-0.7343713,,,,
1,0.3389834,,,,,0.3389834,0.5640183,-0.2250349,,,,
1,0.748061,,,,,0.748061,0.603257,0.144804,,,,
1,0.2689042,,,,,0.2689042,1.1104725,-0.8415683,,,,
1,0.5145014,,,,,0.5145014,0.8165173,-0.3020159,,,,
1,0.0450278,,,,,0.0450278,0.6035082,-0.5584804,,,,
1,0.4258439,,,,,0.4258439,1.0545264,-0.6286825,,,,
1,0.4546791,,,,,0.4546791,0.4760186,-0.0213395,,,,
1,0.3107024,,,,,0.3107024,0.9215879,-0.6108855,,,,
1,0.3097679,,,,,0.3097679,0.614478,-0.3047101,,,,
1,0.1136748,,,,,0.1136748,1.1738784,-1.0602036,,,,
1,0.6187906,,,,,0.6187906,1.0405648,-0.4217742,,,,
1,0.3639564,,,,,0.3639564,0.8684546,-0.5044982,,,,
1,1.2941642,,,,,1.2941642,0.8368426,0.4573216,,,,
1,0.5817189,,,,,0.5817189,0.5981062,-0.0163873,,,,
1,0.514392,,,,,0.514392,1.1648235,-0.6504315,,,,
1,0.4252748,,,,,0.4252748,0.8646886,-0.4394138,,,,
1,0.3113294,,,,,0.3113294,1.1959789,-0.8846495,,,,
1,0.4401767,,,,,0.4401767,0.7888969,-0.3487202,,,,
1,0.4647939,,,,,0.4647939,1.8595237,-1.3947298,,,,
1,2.1144511,,,,,2.1144511,0.5273199,1.5871312,,,,
1,0.9676135,,,,,0.9676135,0.8813521,0.0862614,,,,
1,1.0709348,,,,,1.0709348,0.6766256,0.3943092,,,,
1,0.9727928,,,,,0.9727928,0.8162223,0.1565705,,,,
1,0.5239569,,,,,0.5239569,1.2316088,-0.7076519,,,,
1,1.0619185,,,,,1.0619185,0.8308008,0.2311177,,,,
1,1.2008415,,,,,1.2008415,0.6393685,0.561473,,,,
1,0.5536739,,,,,0.5536739,1.1941236,-0.6404497,,,,
1,0.8660551,,,,,0.8660551,1.0225506,-0.1564955,,,,
1,0.7031625,,,,,0.7031625,0.7748817,-0.0717192,,,,
1,0.7762482,,,,,0.7762482,0.6053991,0.1708491,,,,
1,0.8437366,,,,,0.8437366,0.824997,0.0187396,,,,
1,1.2823255,,,,,1.2823255,1.2883097,-0.0059842,,,,
1,0.6860072,,,,,0.6860072,0.514829,0.1711782,,,,
1,0.6146226,,,,,0.6146226,0.652742,-0.0381194,,,,
1,0.5415137,,,,,0.5415137,0.6816294,-0.1401157,,,,
1,1.1920902,,,,,1.1920902,0.7748511,0.4172391,,,,
1,0.9407071,,,,,0.9407071,0.8834957,0.0572114,,,,
1,0.5477507,,,,,0.5477507,2.2337817,-1.686031,,,,
1,0.4784008,,,,,0.4784008,1.3666014,-0.8882006,,,,
1,0.3733788,,,,,0.3733788,0.5485942,-0.1752154,,,,
1,0.6987589,,,,,0.6987589,1.0696863,-0.3709274,,,,
1,0.9594227,,,,,0.9594227,0.9624947,-0.003072,,,,
1,10.2414129,,,,,10.2414129,0.7016044,9.5398085,,,,
1,0.8258539,,,,,0.8258539,0.8861929,-0.060339,,,,
1,1.0660236,,,,,1.0660236,0.8819231,0.1841005,,,,
1,0.7603102,,,,,0.7603102,0.7712373,-0.0109271,,,,
1,0.6530437,,,,,0.6530437,1.236397,-0.5833533,,,,
1,4.6661061,,,,,4.6661061,2.1436299,2.5224762,,,,
1,3.624146,,,,,3.624146,0.8481998,2.7759462,,,,
1,0.39746,,,,,0.39746,0.5756093,-0.1781493,,,,
1,0.3146968,,,,,0.3146968,1.0612073,-0.7465105,,,,
1,0.4315401,,,,,0.4315401,0.9255629,-0.4940228,,,,
1,1.5012777,,,,,1.5012777,0.9261898,0.5750879,,,,
1,0.367555,,,,,0.367555,1.0098799,-0.6423249,,,,
1,0.3977473,,,,,0.3977473,1.0449742,-0.6472269,,,,
1,0.4761661,,,,,0.4761661,0.5578453,-0.0816792,,,,
1,0.9604365,,,,,0.9604365,0.9430319,0.0174046,,,,
1,0.3810303,,,,,0.3810303,1.194015,-0.8129847,,,,
1,0.538893,,,,,0.538893,0.8456162,-0.3067232,,,,
1,8.8371971,,,,,8.8371971,1.5076181,7.329579,,,,
1,1.8528199,,,,,1.8528199,0.8866153,0.9662046,,,,
1,0.3578299,,,,,0.3578299,1.0338868,-0.6760569,,,,
1,1.490233,,,,,1.490233,0.5737861,0.9164469,,,,
1,0.2980324,,,,,0.2980324,1.1858278,-0.8877954,,,,
1,0.3547575,,,,,0.3547575,0.7617638,-0.4070063,,,,
1,0.3321676,,,,,0.3321676,0.4912756,-0.159108,,,,
1,0.3982512,,,,,0.3982512,2.677609,-2.2793578,,,,
1,0.6030619,,,,,0.6030619,1.0525091,-0.4494472,,,,
1,0.3085155,,,,,0.3085155,0.849343,-0.5408275,,,,
1,0.2983058,,,,,0.2983058,1.0412635,-0.7429577,,,,
1,0.0871978,,,,,0.0871978,0.8914641,-0.8042663,,,,
1,0.4052851,,,,,0.4052851,1.5352308,-1.1299457,,,,
1,1.1043052,,,,,1.1043052,0.8728977,0.2314075,,,,
1,0.3571262,,,,,0.3571262,0.6482273,-0.2911011,,,,
1,0.4016812,,,,,0.4016812,1.7777286,-1.3760474,,,,
1,0.338046,,,,,0.338046,1.2990598,-0.9610138,,,,
1,0.8931532,,,,,0.8931532,0.5766079,0.3165453,,,,
1,0.3282329,,,,,0.3282329,2.0174189,-1.689186,,,,
1,0.9915568,,,,,0.9915568,0.7468221,0.2447347,,,,
1,0.7154768,,,,,0.7154768,0.5050109,0.2104659,,,,
1,0.4267113,,,,,0.4267113,1.0400973,-0.613386,,,,
1,0.190108,,,,,0.190108,0.8850762,-0.6949682,,,,
1,0.0344824,,,,,0.0344824,1.1931973,-1.1587149,,,,
1,0.8991379,,,,,0.8991379,1.431563,-0.5324251,,,,
1,0.5382255,,,,,0.5382255,0.9441001,-0.4058746,,,,
1,0.792383,,,,,0.792383,0.8000878,-0.0077048,,,,
1,0.520319,,,,,0.520319,0.8534308,-0.3331118,,,,
1,1.6814154,,,,,1.6814154,0.9529922,0.7284232,,,,
1,0.3265315,,,,,0.3265315,1.7782654,-1.4517339,,,,
1,0.5603557,,,,,0.5603557,1.407845,-0.8474893,,,,
1,0.3183949,,,,,0.3183949,1.3756411,-1.0572462,,,,
1,0.2962189,,,,,0.2962189,0.7905593,-0.4943404,,,,
1,0.2989872,,,,,0.2989872,1.1095032,-0.810516,,,,
1,0.2927548,,,,,0.2927548,1.2495101,-0.9567553,,,,
0,0.7028492,,,,,,,,,,,
1,1.344331,,,,,,,,,,,
1,0.8956353,,,,,,,,,,,
1,1.2512648,,,,,,,,,,,
1,0.9474826,,,,,,,,,,,
1,1.0470754,,,,,,,,,,,
1,0.912756,,,,,,,,,,,
1,0.5098113,,,,,,,,,,,
1,0.9522914,,,,,,,,,,,
1,0.7520185,,,,,,,,,,,
1,0.8496117,,,,,,,,,,,
1,0.9564769,,,,,,,,,,,
1,0.4482448,,,,,,,,,,,
1,1.4897112,,,,,,,,,,,
1,1.8904881,,,,,,,,,,,
1,0.5701748,,,,,,,,,,,
1,0.6953505,,,,,,,,,,,
1,0.6412013,,,,,,,,,,,
1,1.5144776,,,,,,,,,,,
1,0.5500164,,,,,,,,,,,
1,1.1218239,,,,,,,,,,,
1,1.1773681,,,,,,,,,,,
1,0.4239448,,,,,,,,,,,
1,1.2583435,,,,,,,,,,,
1,0.967478,,,,,,,,,,,
1,1.1549333,,,,,,,,,,,
1,0.5318027,,,,,,,,,,,
1,0.6903214,,,,,,,,,,,
1,0.8743807,,,,,,,,,,,
1,0.7544095,,,,,,,,,,,
1,0.9887581,,,,,,,,,,,
1,0.9561566,,,,,,,,,,,
1,0.6974132,,,,,,,,,,,
1,0.8513569,,,,,,,,,,,
1,0.6486084,,,,,,,,,,,
1,1.6551066,,,,,,,,,,,
1,0.8283228,,,,,,,,,,,
1,0.6727318,,,,,,,,,,,
1,0.7768165,,,,,,,,,,,
1,1.0837641,,,,,,,,,,,
1,0.7815493,,,,,,,,,,,
1,0.525548,,,,,,,,,,,
1,0.8197418,,,,,,,,,,,
1,1.168088,,,,,,,,,,,
1,0.9504119,,,,,,,,,,,
1,1.2212678,,,,,,,,,,,
1,1.0919699,,,,,,,,,,,
1,0.6945449,,,,,,,,,,,
1,0.558516,,,,,,,,,,,
1,0.6653185,,,,,,,,,,,
1,0.4615978,,,,,,,,,,,
1,1.0488788,,,,,,,,,,,
1,0.4630987,,,,,,,,,,,
1,0.668362,,,,,,,,,,,
1,0.7263245,,,,,,,,,,,
1,0.6679644,,,,,,,,,,,
1,0.8744901,,,,,,,,,,,
1,0.7434064,,,,,,,,,,,
1,1.2115749,,,,,,,,,,,
1,0.99307,,,,,,,,,,,
1,1.3686432,,,,,,,,,,,
1,0.7157167,,,,,,,,,,,
1,1.0067202,,,,,,,,,,,
1,0.662819,,,,,,,,,,,
1,0.6594832,,,,,,,,,,,
1,0.6768206,,,,,,,,,,,
1,1.0152083,,,,,,,,,,,
1,0.8637465,,,,,,,,,,,
1,0.6814174,,,,,,,,,,,
1,0.4811332,,,,,,,,,,,
1,1.0475461,,,,,,,,,,,
1,4.0019136,,,,,,,,,,,
1,0.7904143,,,,,,,,,,,
1,0.9308819,,,,,,,,,,,
1,0.9682698,,,,,,,,,,,
1,0.9048384,,,,,,,,,,,
1,0.9991938,,,,,,,,,,,
1,0.5641038,,,,,,,,,,,
1,1.7460978,,,,,,,,,,,
1,1.0784369,,,,,,,,,,,
1,0.7911853,,,,,,,,,,,
1,0.875237,,,,,,,,,,,
1,1.1072614,,,,,,,,,,,
1,1.4397938,,,,,,,,,,,
1,0.6584525,,,,,,,,,,,
1,1.3055455,,,,,,,,,,,
1,1.031527,,,,,,,,,,,
1,1.3485389,,,,,,,,,,,
1,2.3805388,,,,,,,,,,,
1,1.1720355,,,,,,,,,,,
1,1.0313108,,,,,,,,,,,
1,0.9262335,,,,,,,,,,,
1,0.5867866,,,,,,,,,,,
1,0.918903,,,,,,,,,,,
1,0.9017807,,,,,,,,,,,
1,0.7379951,,,,,,,,,,,
1,0.7318141,,,,,,,,,,,
1,1.0620474,,,,,,,,,,,
1,0.9444639,,,,,,,,,,,
1,0.9700247,,,,,,,,,,,
1,1.2153031,,,,,,,,,,,
1,0.9940244,,,,,,,,,,,
1,0.8446243,,,,,,,,,,,
1,0.9843034,,,,,,,,,,,
1,1.1012361,,,,,,,,,,,
1,1.0706544,,,,,,,,,,,
1,0.5640183,,,,,,,,,,,
1,0.603257,,,,,,,,,,,
1,1.1104725,,,,,,,,,,,
1,0.8165173,,,,,,,,,,,
1,0.6035082,,,,,,,,,,,
1,1.0545264,,,,,,,,,,,
1,0.4760186,,,,,,,,,,,
1,0.9215879,,,,,,,,,,,
1,0.614478,,,,,,,,,,,
1,1.1738784,,,,,,,,,,,
1,1.0405648,,,,,,,,,,,
1,0.8684546,,,,,,,,,,,
1,0.8368426,,,,,,,,,,,
1,0.5981062,,,,,,,,,,,
1,1.1648235,,,,,,,,,,,
1,0.8646886,,,,,,,,,,,
1,1.1959789,,,,,,,,,,,
1,0.7888969,,,,,,,,,,,
1,1.8595237,,,,,,,,,,,
1,0.5273199,,,,,,,,,,,
1,0.8813521,,,,,,,,,,,
1,0.6766256,,,,,,,,,,,
1,0.8162223,,,,,,,,,,,
1,1.2316088,,,,,,,,,,,
1,0.8308008,,,,,,,,,,,
1,0.6393685,,,,,,,,,,,
1,1.1941236,,,,,,,,,,,
1,1.0225506,,,,,,,,,,,
1,0.7748817,,,,,,,,,,,
1,0.6053991,,,,,,,,,,,
1,0.824997,,,,,,,,,,,
1,1.2883097,,,,,,,,,,,
1,0.514829,,,,,,,,,,,
1,0.652742,,,,,,,,,,,
1,0.6816294,,,,,,,,,,,
1,0.7748511,,,,,,,,,,,
1,0.8834957,,,,,,,,,,,
1,2.2337817,,,,,,,,,,,
1,1.3666014,,,,,,,,,,,
1,0.5485942,,,,,,,,,,,
1,1.0696863,,,,,,,,,,,
1,0.9624947,,,,,,,,,,,
1,0.7016044,,,,,,,,,,,
1,0.8861929,,,,,,,,,,,
1,0.8819231,,,,,,,,,,,
1,0.7712373,,,,,,,,,,,
1,1.236397,,,,,,,,,,,
1,2.1436299,,,,,,,,,,,
1,0.8481998,,,,,,,,,,,
1,0.5756093,,,,,,,,,,,
1,1.0612073,,,,,,,,,,,
1,0.9255629,,,,,,,,,,,
1,0.9261898,,,,,,,,,,,
1,1.0098799,,,,,,,,,,,
1,1.0449742,,,,,,,,,,,
1,0.5578453,,,,,,,,,,,
1,0.9430319,,,,,,,,,,,
1,1.194015,,,,,,,,,,,
1,0.8456162,,,,,,,,,,,
1,1.5076181,,,,,,,,,,,
1,0.8866153,,,,,,,,,,,
1,1.0338868,,,,,,,,,,,
1,0.5737861,,,,,,,,,,,
1,1.1858278,,,,,,,,,,,
1,0.7617638,,,,,,,,,,,
1,0.4912756,,,,,,,,,,,
1,2.677609,,,,,,,,,,,
1,1.0525091,,,,,,,,,,,
1,0.849343,,,,,,,,,,,
1,1.0412635,,,,,,,,,,,
1,0.8914641,,,,,,,,,,,
1,1.5352308,,,,,,,,,,,
1,0.8728977,,,,,,,,,,,
1,0.6482273,,,,,,,,,,,
1,1.7777286,,,,,,,,,,,
1,1.2990598,,,,,,,,,,,
1,0.5766079,,,,,,,,,,,
1,2.0174189,,,,,,,,,,,
1,0.7468221,,,,,,,,,,,
1,0.5050109,,,,,,,,,,,
1,1.0400973,,,,,,,,,,,
1,0.8850762,,,,,,,,,,,
1,1.1931973,,,,,,,,,,,
1,1.431563,,,,,,,,,,,
1,0.9441001,,,,,,,,,,,
1,0.8000878,,,,,,,,,,,
1,0.8534308,,,,,,,,,,,
1,0.9529922,,,,,,,,,,,
1,1.7782654,,,,,,,,,,,
1,1.407845,,,,,,,,,,,
1,1.3756411,,,,,,,,,,,
1,0.7905593,,,,,,,,,,,
1,1.1095032,,,,,,,,,,,
1,1.2495101,,,,,,,,,,,
